UID,Subtype,Classification
ALT273QET,H11N9,Avian
RUS566TSP,H4N6,Avian
GNX611KMO,H4N6,Avian
IUA316UYI,H4N6,Avian
FGH033JUF,H4N6,Avian
PDQ418OQA,H4N6,Avian
XJF410BLT,H4N6,Avian
QUV587DFH,H1N1,Avian
WRV151JEB,H4N6,Avian
NWU417KZN,H7N7,Avian
OXC752EEH,H10N1,Avian
KBW694IBL,H6N2,Avian
BQE339VHB,H7N7,Avian
JUZ170YID,H2N3,Avian
IAX565QRJ,H7N7,Avian
HBN565KBD,H1N1,Avian
QHI359FGK,H1N1,Avian
PSV143NVB,H1N1,Avian
RGY927TNR,H6N2,Avian
NZP187VEW,H6N2,Avian
RJT157TGT,H1N1,Avian
GXE071OIT,H6N2,Avian
NWJ115UQL,H6N2,Avian
KBG232VQF,H11N2,Avian
CJB781CJJ,H11N2,Avian
UFL138EYB,H6N2,Avian
DGP246QET,H6N2,Avian
TKM658YMG,H1N1,Avian
LXD651VEV,H6N2,Avian
SIL280RIC,H1N2,Avian
XQK849DNQ,H11N2,Avian
APW870IME,H6N2,Avian
EIY623XJY,H6N2,Avian
TKD658GLV,H11N2,Avian
FGG471OUD,H6N2,Avian
GFF682PXW,H11N2,Avian
FFD943SGO,H6N2,Avian
UFT868ATY,H6N2,Avian
EYA793ZSY,H6N2,Avian
QYU481FXG,H6N2,Avian
GBI401EVJ,H6N2,Avian
USZ990JVK,H6N2,Avian
TTF644CIB,H3N2,Avian
OBY880PPI,H5N1,Avian
QEK396CUN,H5N1,Avian
MFW819SYL,H5N6,Avian
CKD181SKI,H9N2,Avian
CYD362LOW,H5N1,Avian
LWS157HMC,H5N1,Avian
TTG830QWI,H5N1,Avian
INW116DAP,H3N8,Avian
IYE265RZA,H5N6,Avian
USW462JAW,H5N1,Avian
TSI993XRJ,H11N7,Avian
EDX408ONC,H6N6,Avian
KVJ431NIY,H6N6,Avian
EBY800BGC,H6N6,Avian
SVX579FGD,H5N1,Avian
ERM160XNW,H5N1,Avian
SQC118ITM,H5N6,Avian
VZU984NOI,H9N2,Avian
RBR718SXW,H3N8,Avian
GVF681APK,H6N1,Avian
UUZ900KWU,H6N1,Avian
XMB311EQJ,H5N1,Avian
FJX318NEE,H10N7,Avian
TPW948XYE,H10N7,Avian
GWA557LAD,H4N6,Avian
GEF335SMT,H10N7,Avian
RBB770FBA,H3N8,Avian
XUK581LQA,H7N3,Avian
VCM991WSK,H9N2,Avian
AHZ041VYL,H5N1,Avian
JXV424BRQ,H5N1,Avian
USA965PRS,H9N2,Avian
CQP667AEU,H9N2,Avian
MJH173UDK,H9N2,Avian
JPI343UEJ,H9N2,Avian
YBZ156VHJ,H9N2,Avian
EPY742EAL,H9N2,Avian
HCF847QVE,H9N2,Avian
ARZ614CLM,H9N2,Avian
RZI120CQD,H9N2,Avian
NDG266QQN,H9N2,Avian
QLH419UPA,H9N2,Avian
JWW807AEZ,H9N2,Avian
DOJ507MHW,H9N2,Avian
NRN780GCH,H9N2,Avian
ISX900ZBK,H5N1,Avian
GPL110ZDW,H9N2,Avian
GUV183PPO,H9N2,Avian
QKK206OYF,H9N2,Avian
SZT235QTZ,H9N2,Avian
WTZ414FGC,H9N2,Avian
ZDD147RZP,H9N2,Avian
FDJ285WDJ,H9N2,Avian
FLW158SRP,H9N2,Avian
TGO474KYP,H5N1,Avian
APA777EEM,H3N2,Avian
YLF926LUW,H5N1,Avian
UNL349YKW,H5N1,Avian
DGV503PQH,H5N1,Avian
KAX156KQD,H9N2,Avian
JGU233UVI,H5N1,Avian
EID737ZZV,H9N2,Avian
WTQ610WKH,H9N2,Avian
ULP184NIC,H9N2,Avian
SWE246TSL,H9N2,Avian
ZXX597UUR,H9N2,Avian
XGT417JLS,H9N2,Avian
BMF219QWM,H9N2,Avian
DTS479EWM,H9N2,Avian
CAR974PRP,H9N2,Avian
EUX489CMZ,H9N2,Avian
SYD552AZI,H9N2,Avian
LQY625UQO,H9N2,Avian
MZA827RCL,H5N1,Avian
ETP378WIV,H9N2,Avian
OUB292FAA,H6N6,Avian
NOE399KOD,H9N2,Avian
GHB842UHJ,H5N1,Avian
FDC774KVV,H5N1,Avian
DSO857BLD,H9N2,Suidae
HVB923QPY,H3N8,Avian
WSS230QNW,H6N2,Avian
RQV329TDO,H3N8,Avian
FGY103XYK,H4N8,Avian
ZNY350IWG,H4N6,Avian
EHS405QWP,H2N9,Avian
ZHK212GKF,H6N2,Avian
AUV748MJZ,H6N2,Avian
KLI509YGC,H1N3,Avian
NMD779JTP,H7N7,Avian
CVN203VTM,H10N4,Avian
POB315MLR,H4N6,Avian
GGX109PWL,H9N2,Avian
VUI469WMM,H9N2,Avian
JBN622KNB,H9N2,Avian
YBJ004ETJ,H5N1,Avian
VIR127FZM,H5N1,Avian
HMC864QCE,H5N1,Avian
RGP581VON,H9N2,Avian
UDV854XCB,H9N2,Avian
PMS020KLD,H9N2,Avian
TDZ585BAZ,H5N1,Avian
LBJ206TKL,H7N1,Avian
TBI022VOX,H5N1,Avian
WZV225EAR,H5N1,Avian
BVT616EFC,H5N1,Avian
OFX053KQD,H5N1,Avian
SRX926WUS,H5N1,Avian
PMR783NJT,H9N2,Avian
FRG448SQU,H3N8,Avian
TQL175MEU,H3N8,Avian
HPV773RYV,H12N3,Avian
LHW619IPM,H4N6,Avian
YCF553QDE,H6N2,Avian
KGF820PZO,H10N7,Avian
GGN082ITZ,H9N2,Avian
MXF202NSX,H10N5,Avian
JTA405ANI,H10N9,Avian
GYX997FJE,H3N8,Avian
EFF682DXM,H11N2,Avian
HXS605TKL,H10N7,Avian
OQI944ODZ,H4N6,Avian
TOR406AMA,H4N6,Avian
KLG382BLV,H10N7,Avian
EQI942MSJ,H10N7,Avian
ZXX040YPQ,H3N2,Avian
SXK467FOH,H11N9,Avian
NUT493APJ,H10N5,Avian
RAV608OHZ,H10N5,Avian
LID991DTL,H3N1,Avian
XOR247YOO,H12N5,Avian
AZD393YSL,H12N5,Avian
VSK215LCD,H5N1,Avian
WTT584KKD,H5N1,Avian
UTP633DLH,H2N1,Avian
VWD199ANL,H3N6,Avian
POA684RXC,H1N1,Suidae
XCW754OWU,H9N2,Avian
GHK504HIZ,H9N2,Avian
DNL379NPQ,H9N2,Avian
FHR691YSD,H9N2,Avian
PEC332NTB,H9N2,Avian
RWS783OMM,H1N2,Suidae
SNT406UXP,H7N1,Avian
OHM429CED,H2N5,Avian
PQG929THN,H1N1,Suidae
ZMB102FAA,H5N1,Avian
UBT989ZAX,H1N1,Suidae
MFF141TRL,H1N2,Suidae
VIW204MLA,H1N2,Suidae
GLH109HFU,H1N1,Suidae
GAK618GWE,H5N1,Avian
JTJ975YXM,H5N1,Avian
CKP709VUR,H11N9,Avian
KER112XIQ,H5N1,Avian
DWT544ALQ,H6N1,Avian
SIS476SRA,H6N1,Avian
ANT400YEG,H3N2,Suidae
LAB891IQC,H7N3,Avian
ESL417WRV,H7N1,Avian
TOH994YWG,H7N3,Avian
BSE316UTX,H7N1,Avian
IAT872VUQ,H7N1,Avian
BUA730PJL,H7N1,Avian
YTF912KWS,H7N1,Avian
LCA897ZYS,H7N3,Avian
QGG114BWK,H7N3,Avian
HVX334TXE,H7N1,Avian
WNZ342YCA,H1N1,Avian
PJK853TDI,H7N9,Avian
JCT025XIW,H7N9,Avian
IJX006MEJ,H1N1,Suidae
ROZ879ZLC,H1N1,Avian
ODW395QXU,H1N1,Avian
JWE924DUL,H5N1,Avian
YDR263SPP,H3N2,Avian
GRU707ZLG,H8N4,Avian
WBY481EKK,H3N2,Avian
UBV909CBI,H1N1,Avian
GBX883AHB,H3N8,Avian
XOG821RQU,H13N2,Avian
WML404LFR,H5N6,Avian
LTJ405HAR,H6N1,Avian
DUC809HKG,H3N2,Suidae
HGD071CWD,H1N1,Suidae
YDF266XUQ,H3N2,Suidae
UYP855FBJ,H11N2,Avian
OIO562IWN,H4N2,Avian
XQB497IIB,H5N6,Avian
OMC775XGY,H9N2,Avian
IZE547CEE,H9N2,Avian
XYO877NNE,H9N2,Avian
NED758QKZ,H9N2,Avian
JJO342RER,H2N6,Avian
RWZ202FNS,H10N6,Avian
KVQ234ULZ,H10N4,Avian
JLQ506RRS,H10N1,Avian
THE441XHB,H10N1,Avian
LTV625UUT,H10N4,Avian
AJR151DIC,H7N7,Avian
RUW906PIU,H3N2,Suidae
UVT006NTU,H10N4,Avian
DTZ874ZWZ,H5N1,Avian
ZBO120RIQ,H7N9,Avian
FTO994HUM,H6N2,Avian
HJK905SGV,H4N6,Avian
TXX104DXZ,H6N8,Avian
TBH836LNC,H11N9,Avian
XQV177PSK,H4N8,Avian
XIG368UFL,H11N7,Avian
YRW098JOK,H6N2,Avian
LOK769LWX,H3N2,Canidae
PSF601FIW,H3N2,Canidae
TCB721KRF,H3N2,Canidae
KJN052FMR,H3N2,Canidae
FZQ695RHW,H3N2,Canidae
MSB621LJI,H3N2,Canidae
QMH643CGS,H3N2,Canidae
UMN365DOI,H3N2,Canidae
WCC169ABL,H3N2,Canidae
SPR397AHP,H3N2,Canidae
ERU042TWT,H3N2,Canidae
UZM911YSU,H3N8,Canidae
OAY212AIY,H3N8,Canidae
XKL378APK,H3N8,Canidae
LGL684RXB,H3N8,Canidae
ZRL582GFL,H3N8,Canidae
CAW967YKN,H3N8,Canidae
ZIE194WFY,H3N8,Canidae
FNB405OVZ,H3N8,Canidae
SEJ026MEM,H3N2,Canidae
DCJ730RIE,H3N2,Canidae
JCA989LIX,H3N8,Equidae
YBH515NRW,H3N8,Equidae
LIP805MSE,H3N8,Equidae
VRO588QNE,H3N8,Equidae
UDU023JWN,H3N8,Equidae
ZGY783VST,H3N8,Equidae
UMJ977MLI,H7N7,Equidae
DQO390GDA,H3N8,Equidae
QBM923NWT,H3N8,Equidae
PWU662QEB,H3N8,Equidae
UVF135VDW,H3N2,Hominidae
YRF020KXM,H1N1,Hominidae
QII568HHD,H1N1,Hominidae
EYD402DPF,H3N2,Hominidae
RQS959TUX,H1N1,Hominidae
FZI344WDN,H3N2,Hominidae
SNE729EZI,H1N1,Hominidae
YXX064KAN,H1N1,Hominidae
YVH506YNP,H3N2,Hominidae
YKS656VIC,H1N1,Hominidae
PUH124TFP,H1N1,Hominidae
NSN184GCM,H1N1,Hominidae
NCB544YJD,H1N1,Hominidae
SCK140RSO,H1N1,Hominidae
MKS131SDY,H1N1,Hominidae
DMT740UFD,H1N1,Hominidae
HHV579CTV,H1N1,Hominidae
XQD938FOH,H1N1,Hominidae
CSR122ERU,H1N1,Hominidae
QNN704LLV,H3N2,Hominidae
UMA110HTL,H1N1,Hominidae
QVW287KAC,H1N1,Hominidae
WZZ654HZB,H3N2,Hominidae
OOR192GJK,H1N1,Hominidae
VFT416WPY,H3N2,Hominidae
KDX537MTV,H3N2,Hominidae
GCC692GYG,H3N2,Hominidae
MVS852VLW,H1N1,Hominidae
PGN915DQG,H1N1,Hominidae
IPS711MQC,H1N1,Hominidae
ISE512CMW,H1N1,Hominidae
JWP838NEL,H1N1,Hominidae
ULN240TVP,H1N1,Hominidae
ENK840HFV,H1N1,Hominidae
WFS202BUC,H1N1,Hominidae
IGG274EUI,H1N1,Hominidae
VHS963MEN,H1N1,Hominidae
QER621PPR,H1N1,Hominidae
RGM624DEI,H1N1,Hominidae
JXQ034AVS,H1N1,Hominidae
CPW061UPR,H1N1,Hominidae
ILA512BYL,H1N1,Hominidae
OXG084DJU,H1N1,Hominidae
SHB699YGN,H1N1,Hominidae
CKM881LIZ,H1N1,Hominidae
QTO547WJJ,H3N2,Hominidae
GRY192IYK,H3N2,Hominidae
RZQ104OJH,H3N2,Hominidae
ZRD820VNV,H1N1,Hominidae
MEV331EON,H1N1,Hominidae
FXP739RBK,H1N1,Hominidae
LVN804RFH,H1N1,Hominidae
CAH310EAH,H1N1,Hominidae
PPF632FXF,H3N2,Hominidae
OZZ513NID,H1N1,Hominidae
JVW772PUY,H1N1,Hominidae
PSG951CCY,H1N1,Hominidae
BCS518QPV,H1N1,Hominidae
VMU766CLT,H1N1,Hominidae
OEJ213EEV,H1N1,Hominidae
PZL133AVZ,H1N1,Hominidae
NCC994RFP,H1N1,Hominidae
DPB875UJN,H1N1,Hominidae
LWL166WUD,H1N1,Hominidae
PNN547QWA,H3N2,Hominidae
XXV406OSU,H1N1,Hominidae
IUI536QOV,H1N1,Hominidae
XHJ463UON,H1N1,Hominidae
YMS481VNA,H1N1,Hominidae
BJK922RGE,H1N1,Hominidae
VKJ767XHM,H1N1,Hominidae
PXX349QBV,H1N1,Hominidae
WXI091XWY,H3N2,Hominidae
KOC453KGW,H3N2,Hominidae
IER365GCJ,H3N2,Hominidae
FAG172ASO,H3N2,Hominidae
NJL411MCX,H3N2,Hominidae
STM010QIF,H1N1,Hominidae
IUK012HYV,H1N1,Hominidae
AHE475GZL,H1N1,Hominidae
JDB514ZHL,H1N1,Hominidae
LTR425BPW,H1N1,Hominidae
FXK787ULC,H1N1,Hominidae
QNA519CDF,H1N1,Hominidae
ERQ535CBW,H1N1,Hominidae
TUP152QGD,H1N1,Hominidae
FSQ724QZM,H1N1,Hominidae
YMO713TDT,H1N1,Hominidae
LKE719GUO,H1N1,Hominidae
JUD623ZJB,H1N1,Hominidae
PPW368KOD,H1N1,Hominidae
WGT119DCC,H1N1,Hominidae
CLB523BGX,H1N1,Hominidae
ZHT278VJW,H1N1,Hominidae
PHS972VFL,H1N1,Hominidae
BPE909AWA,H1N1,Hominidae
KEU466CJG,H1N1,Hominidae
UBS390HEK,H1N1,Hominidae
OHI500RGV,H1N1,Hominidae
TWJ521RTZ,H3N2,Hominidae
ZEW446XMH,H1N1,Hominidae
KAT002ACO,H1N1,Hominidae
IHB750UAG,H1N1,Hominidae
DIG705GLN,H1N1,Hominidae
COP760BMK,H1N1,Hominidae
QVQ219XTM,H1N1,Hominidae
TLM296YDG,H3N2,Hominidae
HBW978WDW,H1N1,Hominidae
THN096DVQ,H3N2,Hominidae
SPC064BLN,H3N2,Hominidae
SNC146PND,H3N2,Hominidae
EMK066BEQ,H3N2,Hominidae
LQQ881PMA,H3N2,Hominidae
SCV078ZPN,H3N2,Hominidae
RDP245AMG,H3N2,Hominidae
OGO980AXY,H3N2,Hominidae
POS748DDQ,H3N2,Hominidae
JGH456NXF,H3N2,Hominidae
CSC399EIS,H1N1,Hominidae
OAP618GQP,H1N1,Hominidae
EZE950OWO,H3N2,Hominidae
YZC697MFX,H1N1,Hominidae
PLA148NFS,H1N1,Hominidae
HOX906SEY,H1N1,Hominidae
RYW369ILJ,H1N1,Hominidae
HUZ723ARF,H3N2,Hominidae
EDL560FDC,H3N2,Hominidae
MPB496GRB,H3N2,Hominidae
LJS326VZJ,H3N2,Hominidae
YRJ218IFH,H1N1,Hominidae
UZT858KSS,H2N2,Hominidae
RBM911CIC,H1N1,Hominidae
ALU536TAA,H3N2,Hominidae
VQX679CKL,H3N2,Hominidae
ZPY592MUZ,H1N1,Hominidae
NVQ968JNB,H1N1,Hominidae
ACP116IBL,H1N1,Hominidae
OFX898CBH,H1N1,Hominidae
LKG917DZN,H1N1,Hominidae
XXV484PQA,H1N1,Hominidae
SSL845GOM,H3N2,Hominidae
DOW573GNP,H1N1,Hominidae
RDW534ENL,H1N1,Hominidae
RQR166SUE,H1N1,Hominidae
RWX503SGC,H3N2,Hominidae
IBM263UIR,H3N2,Hominidae
WHY587PYB,H3N2,Hominidae
ONS550SMX,H3N2,Hominidae
LHE285WNE,H1N1,Hominidae
MAQ527OPD,H1N1,Hominidae
OFL502XXU,H1N1,Hominidae
EGC805FHV,H3N2,Hominidae
TST703YXH,H1N1,Hominidae
DYH302LIY,H1N1,Hominidae
KFG417YAB,H3N2,Hominidae
ODH642ELE,H1N1,Hominidae
PED030MBC,H1N1,Hominidae
TNN596QPJ,H1N1,Hominidae
XZG390COS,H1N1,Hominidae
SGI803PPX,H1N1,Hominidae
DQQ709AGJ,H3N2,Hominidae
ZUG199BMM,H3N2,Hominidae
KTV301BTB,H3N2,Hominidae
CSH017JSV,H3N2,Hominidae
JLJ975YUL,H1N1,Hominidae
TGE623PRR,H1N1,Hominidae
QTH624VMZ,H3N2,Hominidae
PPM185JMB,H1N1,Hominidae
GWB388OPE,H1N1,Hominidae
LZX741HQH,H1N1,Hominidae
ODZ382NGO,H1N1,Hominidae
PLQ318HSY,H1N1,Hominidae
ZOP557OUZ,H1N1,Hominidae
GSJ897SAI,H1N1,Hominidae
CRO584CVI,H1N1,Hominidae
NHU036BLN,H1N1,Hominidae
ZIT224FQY,H1N1,Hominidae
QJO365XDH,H1N1,Hominidae
OLD627INL,H1N1,Hominidae
RMV631UKQ,H3N2,Hominidae
ZRX637GQN,H3N2,Hominidae
JNH333XKP,H3N2,Hominidae
FQY407UDB,H1N1,Hominidae
JUA674CUS,H1N1,Hominidae
MUP582HPS,H1N1,Hominidae
POA445BTC,H1N1,Hominidae
ELN353UOS,H7N2,Avian
PVZ116KTP,H1N1,Hominidae
QIB763JWR,H1N1,Hominidae
YNG910UZM,H1N1,Hominidae
PIH446PYO,H2N2,Hominidae
OBF176XZY,H1N1,Hominidae
LTK545OVN,H1N1,Hominidae
ZTZ196WDX,H1N1,Hominidae
JLG492TZA,H1N1,Hominidae
YNY732GKB,H1N1,Hominidae
YRO670TXX,H1N1,Hominidae
EKW542IWB,H1N1,Hominidae
EAI988JJW,H1N1,Hominidae
CZE061MTY,H1N1,Hominidae
LGC464LOY,H1N1,Hominidae
PVE350TXN,H1N1,Hominidae
SNM229QZX,H1N1,Hominidae
VNP506RAQ,H3N2,Hominidae
RHA359IRE,H1N1,Hominidae
APR516JBL,H3N2,Hominidae
VZQ898APH,H1N1,Hominidae
BUS404GXV,H1N1,Hominidae
PWY501HWA,H1N1,Hominidae
SCC674RSA,H1N1,Hominidae
KYV901GMH,H1N1,Hominidae
BXU217KWF,H1N1,Hominidae
OTY844ISJ,H1N1,Hominidae
YLB027MWO,H3N2,Hominidae
KRB223YZH,H1N1,Hominidae
LSQ052INO,H1N1,Hominidae
PWG012KNA,H1N1,Hominidae
DJP079UPI,H1N1,Hominidae
KJH039PTC,H1N1,Hominidae
ZZN673ATW,H1N1,Hominidae
ELR798DNL,H1N1,Hominidae
RYY027AAG,H1N1,Hominidae
UWI024RVZ,H1N1,Hominidae
PXI443QBS,H1N1,Hominidae
OSX298WGY,H1N1,Hominidae
WUC121FGW,H1N1,Hominidae
TVO578ZJJ,H1N1,Hominidae
DWJ114WDF,H1N1,Hominidae
RXV972SLL,H1N1,Hominidae
NUA048SFC,H1N1,Hominidae
XTS866RIZ,H1N1,Hominidae
MRX843NVV,H1N1,Hominidae
PYK011LUA,H1N1,Hominidae
IQR483ZCI,H1N1,Hominidae
FVZ312QXV,H3N2,Hominidae
MLT818DPS,H1N1,Hominidae
CFX681TFO,H1N1,Hominidae
KFV710TLY,H1N1,Hominidae
KHL051BSK,H1N1,Hominidae
WDZ230RQW,H1N1,Hominidae
PBV407PQR,H1N1,Hominidae
SYK578ZGC,H1N1,Hominidae
EFL777PXR,H3N2,Hominidae
IHR246JXA,H1N1,Hominidae
HTN148XFX,H1N1,Hominidae
BUS972PLO,H1N1,Hominidae
LCL892YGB,H3N2,Hominidae
GIO633DUU,H1N1,Hominidae
IHR163NLN,H3N2,Hominidae
EWY176DSC,H1N1,Hominidae
FUK793BIX,H1N1,Hominidae
LCS487ZBU,H1N1,Hominidae
VXK976FKW,H1N1,Hominidae
YFM204QEQ,H1N1,Hominidae
LPM313ZUF,H1N1,Hominidae
TGI397OYQ,H3N2,Hominidae
SLU006BJO,H3N2,Hominidae
OEH974CJI,H3N2,Hominidae
RZL499TXR,H1N1,Hominidae
GID253MFL,H3N2,Hominidae
JVD945HEX,H1N1,Hominidae
QKV415YMH,H1N1,Hominidae
MLS310NRW,H1N1,Hominidae
HIK002UFM,H1N1,Hominidae
WVY742JHG,H1N1,Hominidae
BLI244EKL,H1N1,Hominidae
BCF312TAT,H3N2,Hominidae
LOP791QXW,H1N1,Hominidae
BFZ902FPK,H1N1,Hominidae
FNJ359KHO,H1N1,Hominidae
UDK584HTR,H1N1,Hominidae
GEE252XXJ,H1N1,Hominidae
THG271QXQ,H1N1,Hominidae
UBN493KHR,H1N1,Hominidae
IBM122IZW,H1N1,Hominidae
ZZV102KKJ,H1N1,Hominidae
FHY116LKW,H1N1,Hominidae
NNK025FLG,H1N1,Hominidae
QPW247IXS,H1N1,Hominidae
IZY969UOV,H1N1,Hominidae
WBN330RKS,H1N1,Hominidae
HTM083HKH,H1N1,Hominidae
OTP246AOG,H1N1,Hominidae
BGD955FAQ,H1N1,Hominidae
FXT583ELJ,H1N1,Hominidae
RQY656DMJ,H1N1,Hominidae
MMV201PKO,H1N1,Hominidae
IGS897OKD,H1N1,Hominidae
JLV915KGE,H3N2,Hominidae
FMQ567AET,H1N1,Suidae
KFQ620ACO,H1N1,Hominidae
RHY338PRV,H1N1,Hominidae
FBG014SQS,H1N1,Hominidae
ZXC902VRJ,H1N1,Hominidae
SHT100XXS,H1N1,Hominidae
OUO615HMY,H1N1,Hominidae
NYM013NFO,H3N2,Hominidae
FUA421JNT,H3N2,Hominidae
TJN449CWO,H1N1,Hominidae
XTF810VFF,H1N1,Hominidae
PIX827IER,H3N2,Hominidae
DRX078SIJ,H1N1,Hominidae
CDF316GYS,H1N1,Hominidae
DFD495VSA,H1N1,Hominidae
DSF222ZKE,H1N1,Hominidae
ZEU702KEG,H3N2,Hominidae
QVJ935ZAW,H1N1,Hominidae
NKG725FOF,H1N1,Hominidae
HTD729MCS,H1N1,Hominidae
LDX693NBC,H1N1,Hominidae
TOZ811CBI,H1N1,Hominidae
HHD661PSD,H1N1,Hominidae
LBS866PKU,H1N1,Hominidae
RTK351PGA,H1N1,Hominidae
LTR046QJU,H1N1,Hominidae
YBP693KZL,H3N2,Hominidae
ZUK351HWY,H1N1,Hominidae
PNW903VVS,H1N1,Hominidae
JRZ214QPM,H1N1,Hominidae
ZNV942MHX,H1N1,Hominidae
OVS947GPZ,H3N2,Hominidae
DTT567UGB,H3N2,Hominidae
DWT965NQH,H1N1,Hominidae
ISR211KFW,H1N1,Hominidae
UXE778ZAF,H1N1,Hominidae
CCA325TZZ,H1N1,Hominidae
UAB934ZZN,H1N1,Hominidae
HZM089YFV,H3N2,Hominidae
ZGH509KCU,H1N1,Hominidae
HFE071MRO,H1N1,Hominidae
LGA991BTH,H1N1,Hominidae
VMX056WDG,H1N1,Hominidae
ZYM197UXZ,H1N1,Hominidae
AYW364AUD,H1N1,Hominidae
PCJ919XAF,H3N2,Hominidae
JGA547CGJ,H3N2,Hominidae
LCA181EGN,H1N1,Hominidae
SGX561SUC,H1N1,Hominidae
ISM302UYM,H3N2,Hominidae
YGR204KPZ,H3N2,Hominidae
LRC362JAJ,H1N1,Hominidae
TWS535NXX,H1N1,Hominidae
ZAQ556NRJ,H1N1,Hominidae
AUB181FXA,H1N1,Hominidae
CNC183VZF,H1N1,Hominidae
RWG229HIN,H1N1,Hominidae
ZZH128WMU,H3N2,Hominidae
EOP825NGA,H1N1,Hominidae
MSE434HCO,H1N1,Hominidae
DKB170POP,H1N1,Hominidae
CQC816KQE,H1N1,Hominidae
GTK245VFB,H1N1,Hominidae
EZP070QXV,H1N1,Hominidae
UUP153JLX,H3N2,Hominidae
ALA961REH,H3N2,Hominidae
BZF819IJM,H3N2,Hominidae
JBG860MZS,H3N2,Hominidae
HYK811VMJ,H1N1,Hominidae
VAW783JFF,H1N1,Hominidae
BOE162DKX,H1N1,Hominidae
IJD839QKN,H1N1,Hominidae
ZUN925MHE,H1N1,Hominidae
OJS556IPH,H1N1,Hominidae
KAJ874BSK,H3N2,Hominidae
ELD235QSY,H1N1,Hominidae
RER830JIQ,H1N1,Hominidae
CIR424KNT,H1N1,Hominidae
ITN968ZWJ,H1N1,Hominidae
YSL193CUQ,H1N1,Hominidae
KHB318BIK,H1N1,Hominidae
BQU060MFC,H1N1,Hominidae
OWM823VUG,H1N1,Hominidae
AZR283PMV,H1N1,Hominidae
PPZ936DDI,H1N1,Hominidae
EOQ415SKS,H3N2,Hominidae
CEZ405MFZ,H1N1,Hominidae
IEP098CIH,H1N1,Hominidae
KEE374DAF,H1N1,Hominidae
YCO807XGV,H3N2,Hominidae
NQK817PTQ,H1N1,Hominidae
JYH973VQC,H3N2,Hominidae
OPF979FDD,H1N1,Hominidae
EDA086BCO,H1N1,Hominidae
YRP089WHY,H1N1,Hominidae
AUD934CWS,H1N1,Hominidae
QTM188IBC,H1N1,Hominidae
AJY360IKP,H1N1,Hominidae
WIR239XIN,H1N1,Hominidae
XLE188FSQ,H1N1,Hominidae
KCZ005JTN,H1N1,Hominidae
DBF068QBX,H1N1,Hominidae
HSB762TAI,H1N1,Hominidae
YZD805EZD,H1N1,Hominidae
WPV326CHD,H1N1,Hominidae
OIL876BUM,H1N1,Hominidae
JBD931IVZ,H1N1,Hominidae
PJW737LOO,H1N1,Hominidae
LNF624FBN,H1N1,Hominidae
RSY160MFE,H1N1,Hominidae
FOJ281VEA,H1N1,Hominidae
OIX370PPZ,H1N1,Hominidae
CIB200RBE,H1N1,Hominidae
NVR379EWR,H1N1,Hominidae
OVE935FRO,H1N1,Hominidae
JZZ513MNK,H1N1,Hominidae
HQX831AKJ,H1N1,Hominidae
NSZ995UOI,H3N2,Hominidae
HWZ027VJE,H1N1,Hominidae
OWJ042RGI,H1N1,Hominidae
SBB102HFE,H3N2,Hominidae
OWU033DFT,H1N1,Hominidae
OBR583LLI,H1N1,Hominidae
GDB231YPE,H1N1,Hominidae
DJP043BAL,H1N1,Hominidae
DQA146RSB,H1N1,Hominidae
CYJ318NWQ,H1N1,Hominidae
OJA392TLJ,H1N1,Hominidae
LGF925BLX,H1N1,Hominidae
RVD482TXX,H1N1,Hominidae
IRU017TSB,H1N1,Hominidae
MMO735QED,H1N1,Hominidae
IMS512RRM,H1N1,Hominidae
HPL823RJA,H1N1,Hominidae
HHW456BMS,H3N2,Hominidae
ABK768WHU,H1N1,Hominidae
JXV794GUV,H1N1,Hominidae
ZVR465GXW,H1N1,Hominidae
BZU299FVY,H1N1,Hominidae
LIZ759NMC,H1N1,Hominidae
EBZ961ABT,H1N1,Hominidae
ZAM366WGH,H1N1,Hominidae
HVS556HZJ,H1N1,Hominidae
JVP434VYC,H1N1,Hominidae
TYW298QPY,H1N1,Hominidae
ZUY306BKJ,H1N1,Hominidae
VQZ245YGB,H3N2,Hominidae
XNZ269ZMG,H3N2,Hominidae
MWT376PTC,H3N2,Hominidae
PQZ417WVF,H3N2,Hominidae
TAS892TSE,H3N2,Hominidae
MSP256GDL,H3N2,Hominidae
AIB645ALQ,H3N2,Hominidae
MTD889RFP,H3N2,Hominidae
POY480GFN,H3N2,Hominidae
JQB578YHR,H3N2,Hominidae
MKW887GND,H3N2,Hominidae
UOD682DBG,H3N2,Hominidae
AOY639HEC,H1N1,Hominidae
TEH412SCI,H1N1,Hominidae
PWO360VIW,H1N1,Hominidae
MTS833EWF,H1N1,Hominidae
RZF962FWK,H1N1,Hominidae
PRU209TNB,H1N1,Hominidae
VKM324EVJ,H1N1,Hominidae
OLI529BIJ,H3N2,Hominidae
FRK198WKY,H3N2,Hominidae
WOW485CKR,H1N1,Hominidae
KPV553EHR,H1N1,Hominidae
LWP435MWU,H1N1,Hominidae
DNT841ROI,H1N1,Hominidae
UPZ552THP,H1N1,Hominidae
URR260PFX,H3N2,Hominidae
MUV888BOA,H1N1,Hominidae
EYR718JVL,H1N1,Hominidae
SZO600WGH,H1N1,Hominidae
JYS670VGH,H3N2,Hominidae
SXO315THH,H3N2,Hominidae
NVS772NLB,H1N1,Hominidae
YUH396LGH,H1N1,Hominidae
